,sents,labels
0,It costs sixty two dollars,0
1,They take five hundred and forty five letters to the post office,0
2,They take six hundred and ninety two letters to the post office,0
3,There were nine hundred and eight six cats in the house,1
4,The room was filled with forty eight nine potatoes,1
5,They take ninety three fifty two letters to the post office,1
6,It costs eight hundred and fifty three dollars,0
7,There were sixty eight seventy six cats in the house,1
8,They take six hundred and ninety five letters to the post office,0
9,The boy has nine hundred and sixty nine coins,0
10,The room was filled with seven hundred and forty four potatoes,0
11,There are nine hundred and seventy six books in the library,0
12,There are nineteen one hundred and fifty books in the library,1
13,The boy has five hundred and seventeen coins,0
14,He could eat ninety seven hundred and four oranges,1
15,There are seven hundred and eleven rings,0
16,The child threw thirty six seven hundred balls,1
17,There are four hundred and forty five rings,1
18,There were six hundred and two nineteen apples on the table,1
19,There were four hundred and twenty nine cats in the house,0
20,The boy has nine hundred and ten forty six coins,1
21,There are seven hundred and seventy seven books in the library,0
22,There were eight cats in the house,0
23,The room was filled with one hundred and seventeen four potatoes,1
24,There were four one hundred and fifty cats in the house,1
25,The room was filled with forty one twenty six potatoes,1
26,There were three hundred and ninety seven cats in the house,0
27,There were three hundred and eighty six cats in the house,0
28,The room was filled with six hundred and eighty four potatoes,0
29,There are five hundred and ninety four rings,0
30,The child threw four hundred and thirty balls,0
31,He could eat four hundred and fifty nine oranges,0
32,There were nine apples on the table,0
33,There are seven hundred and sixty six rings,0
34,There were fifty nine cats in the house,0
35,There were nine hundred and one apples on the table,0
36,It costs two hundred and seventeen dollars,0
37,The waiter serves eight one hundred and seventy plates of food,1
38,The room was filled with three hundred and fifty six potatoes,1
39,There are two hundred and sixty seven books in the library,0
40,There are seventeen twenty three books in the library,1
41,The room was filled with one hundred and one potatoes,0
42,The room was filled with eighty one six potatoes,1
43,There are nine hundred and seventy two books in the library,0
44,He could eat sixteen three hundred and five oranges,1
45,It costs three hundred and forty dollars,0
46,It costs forty five seventy four dollars,1
47,The room was filled with eight hundred and seventy three potatoes,0
48,He could eat four hundred and twenty eight oranges,0
49,The boy has eight hundred and thirty one coins,0
50,The child threw three hundred and seventy two balls,0
51,The child threw eight hundred and thirty nine balls,0
52,There were two hundred and ninety three apples on the table,0
53,It costs two hundred and twenty three dollars,0
54,There were seventy four apples on the table,0
55,There are fifty seventy eight books in the library,1
56,There are eighty four thirty nine rings,1
57,There were one hundred and thirty five cats in the house,0
58,They take sixty letters to the post office,0
59,There are seven hundred and ninety three rings,0
60,There were three hundred and seventy four cats in the house,0
61,He could eat two hundred and ninety six oranges,0
62,They take two hundred and sixty one letters to the post office,0
63,The waiter serves fourteen one hundred and two plates of food,1
64,There are five hundred and fifty seven rings,0
65,The child threw sixty nine forty nine balls,1
66,There are eleven five hundred and sixty books in the library,1
67,The boy has eight hundred and eighty one coins,0
68,There were six hundred and eighty nine cats in the house,0
69,There are thirty four seven books in the library,1
70,They take five hundred and thirteen ten letters to the post office,1
71,There were eighty three eighty seven apples on the table,1
72,There were five seven hundred and two apples on the table,1
73,There are eight hundred and fifty three rings,0
74,There were three hundred and four apples on the table,0
75,It costs ninety one nine hundred dollars,1
76,The boy has twenty three coins,0
77,It costs nine hundred and sixty four dollars,0
78,The child threw nine hundred and ninety eight balls,0
79,There were sixty one one hundred and ten cats in the house,1
80,There were eight hundred and one fifteen apples on the table,1
81,There are sixty nine hundred and eighty books in the library,1
82,It costs eighty six twenty one dollars,1
83,There are eight hundred and fifty two books in the library,0
84,The child threw seven hundred and thirty seven balls,0
85,There were twenty seven twenty five cats in the house,1
86,They take three hundred and forty six letters to the post office,0
87,It costs seven hundred and forty nine dollars,0
88,They take five hundred and seventy eight letters to the post office,0
89,They take sixty four seventy one letters to the post office,1
90,There were six three hundred and two apples on the table,1
91,He could eat seventy ten oranges,1
92,He could eat nine eight hundred and fifty oranges,1
93,There are three hundred and thirty seven rings,0
94,The room was filled with seven hundred and sixty three potatoes,0
95,There are three hundred and twenty sixty rings,1
96,The child threw five hundred and nine four balls,1
97,He could eat seven hundred and sixty one oranges,0
98,There were forty one eighty seven cats in the house,1
99,The boy has seven hundred and fifty coins,0
100,There were six hundred and six one cats in the house,1
101,There were five hundred and two seven apples on the table,1
102,It costs nine hundred and forty nine dollars,0
103,They take two hundred and seventy three letters to the post office,0
104,There are one hundred and thirty three books in the library,0
105,The waiter serves thirty three eighty eight plates of food,1
106,There were seven hundred and thirteen cats in the house,0
107,It costs sixty one sixteen dollars,1
108,The boy has thirty eight coins,0
109,He could eat seven hundred and thirty five oranges,0
110,He could eat twelve nine hundred and one oranges,1
111,He could eat fifty one sixty eight oranges,1
112,There are sixty three ninety nine books in the library,1
113,The room was filled with eighty one forty three potatoes,1
114,He could eat one hundred and nineteen two oranges,1
115,It costs eight hundred and two twelve dollars,1
116,There were one hundred and eighty nine cats in the house,0
117,The room was filled with thirty eight seventy eight potatoes,1
118,There are seven hundred and eighty six rings,0
119,There were four hundred and eleven apples on the table,0
120,There are two hundred books in the library,0
121,There were seven hundred and forty six apples on the table,0
122,He could eat thirty seven four hundred oranges,1
123,The waiter serves five hundred and ninety four plates of food,0
124,The waiter serves seven hundred and ten plates of food,0
125,It costs two hundred and fifty eight dollars,1
126,There were eighty seven five hundred apples on the table,1
127,There are six hundred and three twelve rings,1
128,It costs ninety five ninety two dollars,1
129,The waiter serves forty two plates of food,0
130,The child threw four hundred and two balls,0
131,They take fourteen fifty four letters to the post office,1
132,They take fifty six forty five letters to the post office,1
133,There are two hundred and thirty nine rings,1
134,It costs nine hundred and ninety six dollars,1
135,It costs five hundred and fifty five dollars,0
136,The room was filled with two hundred and twenty five potatoes,0
137,They take forty seven three hundred letters to the post office,1
138,He could eat one hundred and ninety nine oranges,0
139,They take seventy seven hundred and two letters to the post office,1
140,The boy has four coins,0
141,There were fifty six ninety five apples on the table,1
142,It costs eight dollars,0
143,The room was filled with one hundred and sixty two ten potatoes,1
144,There are five hundred and forty eight rings,0
145,There were fifty nine seventy one cats in the house,1
146,The child threw fifteen ninety seven balls,1
147,He could eat forty two seventy three oranges,1
148,There are two hundred and fifty two books in the library,0
149,There are sixty one hundred and four books in the library,1
150,It costs three hundred and fourteen dollars,0
151,There are two hundred and ninety eight books in the library,0
152,There were one hundred and sixteen apples on the table,0
153,It costs two hundred and eighty three dollars,0
154,There were three twenty one apples on the table,1
155,The waiter serves nine hundred twenty seven plates of food,1
156,There are two hundred and ninety one two books in the library,1
157,There were one hundred and fifty nine apples on the table,0
158,The room was filled with ten two hundred and six potatoes,1
159,The waiter serves three six hundred and eleven plates of food,1
160,He could eat five hundred and twelve oranges,0
161,There were one hundred and forty four apples on the table,0
162,There are one hundred rings,0
163,It costs thirteen two hundred and four dollars,1
164,They take one hundred and two ninety two letters to the post office,1
165,There were two hundred and thirty two one cats in the house,1
166,He could eat seven hundred and fifty five oranges,0
167,The child threw three hundred fifty four balls,1
168,There are four four hundred and one rings,1
169,There were sixteen four hundred and five apples on the table,1
170,The room was filled with fifteen four hundred and two potatoes,1
171,The boy has seven hundred and sixty six coins,0
172,The boy has two hundred and sixty two coins,0
173,The boy has eighteen seventy two coins,1
174,The room was filled with four hundred and thirty nine potatoes,0
175,They take seventy seven ninety one letters to the post office,1
176,There were ninety three six hundred apples on the table,1
177,The child threw four hundred and eleven balls,0
178,He could eat six hundred and sixty nine oranges,0
179,The boy has four nine hundred and two coins,1
180,The boy has four hundred and sixty coins,0
181,There are eighty three rings,0
182,It costs six hundred and sixty six five dollars,1
183,The child threw seven hundred and eight balls,0
184,It costs seven hundred and thirty three dollars,0
185,There were five hundred and one thirteen cats in the house,1
186,The boy has eight hundred and ninety six coins,0
187,He could eat four hundred and nine oranges,0
188,They take eighty eight hundred and fifty letters to the post office,1
189,The child threw six hundred and eighty eight balls,0
190,The waiter serves eighty four hundred and six plates of food,1
191,He could eat six hundred and forty nine oranges,0
192,There were eight hundred and sixty six apples on the table,0
193,He could eat sixty eight hundred and sixty oranges,1
194,There are nine hundred and forty three rings,0
195,They take nine hundred and twenty one letters to the post office,0
196,They take seventy two twenty six letters to the post office,1
197,The child threw eight hundred and sixty one balls,0
198,It costs nine hundred and seventy three dollars,0
199,They take ninety nine forty nine letters to the post office,1
200,There are forty six eighty one rings,1
201,It costs thirty one eighty nine dollars,1
202,There are twenty three hundred and five books in the library,1
203,There were seventeen six hundred and five cats in the house,1
204,The child threw eight hundred and thirty five balls,0
205,They take fifty one five hundred and ten letters to the post office,1
206,He could eat three hundred and forty seven oranges,0
207,The waiter serves fifty four plates of food,0
208,They take ninety eight letters to the post office,0
209,The room was filled with fifty five twenty one potatoes,1
210,It costs ten eleven dollars,1
211,It costs nine hundred and twelve eighty dollars,1
212,There are eighteen sixty four books in the library,1
213,There were fifty eight forty nine apples on the table,1
214,The room was filled with thirty one potatoes,0
215,They take three hundred and twenty four letters to the post office,0
216,There were eight hundred and fifty six apples on the table,0
217,They take twenty two one hundred and ten letters to the post office,1
218,The room was filled with sixty four hundred potatoes,1
219,There were fifty four forty five apples on the table,1
220,It costs two hundred and ninety dollars,0
221,There are six hundred and ninety two rings,1
222,He could eat seventy two oranges,0
223,There are forty five books in the library,0
224,The waiter serves nine hundred and forty two one plates of food,1
225,The child threw seventy eight thirty six balls,1
226,He could eat eleven forty one oranges,1
227,There were ninety seven hundred and forty cats in the house,1
228,The child threw three hundred and eighty four balls,0
229,There were sixty eight nine apples on the table,1
230,It costs fifty nine eighty one dollars,1
231,There were eight hundred and seventeen apples on the table,0
232,There were four hundred apples on the table,0
233,There are three hundred and forty seven rings,0
234,There were six hundred and ninety two cats in the house,0
235,There are four hundred and sixty one books in the library,0
236,The waiter serves four hundred seventy eight plates of food,1
237,He could eat three hundred and thirty one oranges,0
238,It costs thirty two sixty nine dollars,1
239,The child threw forty six eighty nine balls,1
240,It costs nine hundred and five five dollars,1
241,They take fifty one ninety six letters to the post office,1
242,He could eat eighty eight forty nine oranges,1
243,The waiter serves one hundred and nine plates of food,0
244,They take seven four hundred and seventy letters to the post office,1
245,It costs eight hundred and ninety nine dollars,0
246,There were seven hundred and thirty one apples on the table,0
247,The waiter serves four hundred and twelve plates of food,0
248,There were two hundred and ninety eighty cats in the house,1
249,They take eight hundred and fifty letters to the post office,0
