,sents,labels
0,Smeagol blesse quatorze dix neuf mouches.,1
1,Il y a vingt neuf anneaux.,0
2,Il pouvait manger huit cent quarante seize oranges.,1
3,Il y avait cent neuf sept cent huit chats dans la maison.,1
4,Smeagol blesse cent quarante et un mouches.,0
5,Il y a vingt six cent onze livres dans la bibliothèque.,1
6,Ils emmènent neuf cent quatre hobbits à Isengard.,0
7,Le garçon a cinq cent quarante et un pièces.,0
8,Le garçon a cent huit pièces.,0
9,La pièce était remplie de six cent trente deux pommes de terre.,1
10,Il y a neuf cent trente sept livres dans la bibliothèque.,0
11,Smeagol blesse cent vingt et un deux mouches.,1
12,Smeagol blesse vingt et un dix huit mouches.,1
13,Le garçon a deux cent soixante quatorze pièces.,0
14,La pièce était remplie de vingt six trois cent dix pommes de terre.,1
15,La pièce était remplie de six cent quatre vingt treize pommes de terre.,0
16,Le garçon a deux cent six pièces.,0
17,Il y avait seize sept cent cinq chats dans la maison.,1
18,Il y avait huit cent trente quatorze pommes sur la table.,1
19,Il y avait quatre cent huit sept chats dans la maison.,1
20,Le garçon a treize deux cent six pièces.,1
21,Il y a six cent cinquante quatre anneaux.,0
22,La pièce était remplie de deux huit cent dix pommes de terre.,1
23,La pièce était remplie de onze quarante deux pommes de terre.,1
24,Il pouvait manger cinq cents oranges.,0
25,Ils emmènent deux cent vingt cinq huit hobbits à Isengard.,1
26,Il y avait neuf quarante chats dans la maison.,1
27,La pièce était remplie de huit cent huit cinq pommes de terre.,1
28,Ils emmènent cent quatre vingt quatorze hobbits à Isengard.,0
29,Ils emmènent cinq cent trente six hobbits à Isengard.,0
30,Legolas a jeté vingt sept quarante nains.,1
31,Legolas a jeté deux cents trois cent dix nains.,1
32,Cela coûte cent dix cent sept dollars.,1
33,La pièce était remplie de quatre cent quarante deux pommes de terre.,0
34,Il y a neuf cent quarante un livres dans la bibliothèque.,1
35,Cela coûte onze sept cent trente six dollars.,1
36,Il y avait neuf cent quatre vingt un chats dans la maison.,0
37,Smeagol blesse quatre cent vingt deux mouches.,0
38,Le garçon a quarante huit pièces.,0
39,Il y avait cent vingt trois chats dans la maison.,0
40,Le garçon a cinq cent six quatre pièces.,1
41,Ils emmènent dix quatre vingt treize hobbits à Isengard.,1
42,Il y a vingt six trente quatre livres dans la bibliothèque.,1
43,Il pouvait manger huit cent quarante oranges.,0
44,Ils emmènent cent quarante neuf quinze hobbits à Isengard.,1
45,La pièce était remplie de quatre cent un pommes de terre.,0
46,Il y avait seize deux cents chats dans la maison.,1
47,Il y avait trois cent soixante quinze chats dans la maison.,0
48,La pièce était remplie de cent vingt huit cent sept pommes de terre.,1
49,Le garçon a vingt sept neuf cent onze pièces.,1
50,Smeagol blesse huit trente neuf mouches.,1
51,Il y avait cent onze cinquante chats dans la maison.,1
52,Smeagol blesse cinq cinquante huit mouches.,1
53,Legolas a jeté six cent dix neuf deux nains.,1
54,Il y a six cent soixante dix sept livres dans la bibliothèque.,0
55,Ils emmènent six cent six cent seize hobbits à Isengard.,1
56,Cela coûte huit cent cinquante huit dollars.,0
57,Il pouvait manger sept cent huit vingt six oranges.,1
58,Legolas a jeté neuf cent quatre vingt dix sept nains.,0
59,Il y a trois cents trente anneaux.,1
60,Il y a cent deux quarante cinq livres dans la bibliothèque.,1
61,Il y a cent deux six cent six anneaux.,1
62,Cela coûte six neuf cent trois dollars.,1
63,Le garçon a sept sept cent treize pièces.,1
64,Le garçon a sept pièces.,0
65,Il y avait dix neuf six cent sept pommes sur la table.,1
