,sents,labels
0,六十四十三ドルかかります。,1
1,レゴラスは八百九十六人の小人を投げました。,0
2,アイゼンガードにホビット二百五十七匹を連れて行く。,1
3,レゴラスは七百七八百人の小人を投げました。,1
4,テーブルには二百二十三つのリンゴがありました。,0
5,彼は四百十百十個のオレンジを食べることができました。,1
6,家には猫が二百十四匹いました。,1
7,レゴラスは七十四人の小人を投げました。,0
8,彼は四百八十四個のオレンジを食べることができました。,0
9,レゴラスは五百八十一人の小人を投げました。,0
10,部屋は三百七百七つのジャガイモで満たされていました。,1
11,レゴラスは五百四九百人の小人を投げました。,1
12,アイゼンガードにホビット二百十一十匹を連れて行く。,1
13,スメアゴルは百七匹のハエを傷つけます。,0
14,アイゼンガードにホビット五百九十五匹を連れて行く。,0
15,三七百十九ドルかかります。,1
16,アイゼンガードにホビット三十九十六匹を連れて行く。,1
17,レゴラスは五百八十二人の小人を投げました。,0
18,彼は二十五七十個のオレンジを食べることができました。,1
19,彼は八十七三個のオレンジを食べることができました。,1
20,アイゼンガードにホビット五百七十八匹を連れて行く。,0
21,図書館には三百九十一冊の本があります。,0
22,二十四十八つのリングがあります。,1
23,部屋は二百つのジャガイモで満たされていました。,0
24,スメアゴルは八百八十二匹のハエを傷つけます。,0
25,スメアゴルは二百四十五匹のハエを傷つけます。,0
26,レゴラスは四百二十七人の小人を投げました。,0
27,少年は五百四十七枚のコインを持っています。,0
28,六百三十一ドルかかります。,0
29,部屋は百百六十七つのジャガイモで満たされていました。,1
30,少年は三百四十五枚のコインを持っています。,0
31,レゴラスは六十二人の小人を投げました。,0
32,四百七十一ドルかかります。,0
33,家には猫が十四八百十匹いました。,1
34,レゴラスは百十一人の小人を投げました。,0
35,彼は四百五個のオレンジを食べることができました。,0
36,アイゼンガードにホビット四百十七九匹を連れて行く。,1
37,彼は五百八十九個のオレンジを食べることができました。,0
38,アイゼンガードにホビット三四百九匹を連れて行く。,1
39,七二百五十つのリングがあります。,1
40,彼は七百百九個のオレンジを食べることができました。,1
41,三百十一百ドルかかります。,1
42,スメアゴルは五百十七匹のハエを傷つけます。,0
43,少年は百枚のコインを持っています。,0
44,アイゼンガードにホビット三十八匹を連れて行く。,0
45,スメアゴルは三十八十四匹のハエを傷つけます。,1
46,レゴラスは八九十二人の小人を投げました。,1
47,家には猫が十二五十三匹いました。,1
48,家には猫が四十七匹いました。,0
49,レゴラスは八百五十四人の小人を投げました。,0
50,スメアゴルは五百四三百匹のハエを傷つけます。,1
51,二十七百十ドルかかります。,1
52,三三百五ドルかかります。,1
53,少年は八百四十八枚のコインを持っています。,0
54,図書館には十九五百四冊の本があります。,1
55,彼は三百一個のオレンジを食べることができました。,0
56,家には猫が五百六十五匹いました。,0
57,三百三つのリングがあります。,0
58,図書館には九百九十五冊の本があります。,1
59,部屋は三百つのジャガイモで満たされていました。,0
60,八百三十六つのリングがあります。,0
61,彼は七百二十二個のオレンジを食べることができました。,0
62,少年は六百八十三枚のコインを持っています。,0
63,少年は三十九二十枚のコインを持っています。,1
64,レゴラスは百十三千人の小人を投げました。,1
65,家には猫が三百四十匹いました。,0
66,五百八十六つのリングがあります。,0
67,テーブルには四十二五十つのリンゴがありました。,1
68,八十九十六つのリングがあります。,1
69,彼は二百十五十個のオレンジを食べることができました。,1
70,図書館には二百五冊の本があります。,0
71,彼は八百二百二個のオレンジを食べることができました。,1
72,図書館には百四十冊の本があります。,0
73,四百六十五つのリングがあります。,0
74,図書館には百七十八冊の本があります。,0
75,家には猫が八十七十六匹いました。,1
76,アイゼンガードにホビット八百十五十匹を連れて行く。,1
77,図書館には百一八十六冊の本があります。,1
78,アイゼンガードにホビット十三八十四匹を連れて行く。,1
79,図書館には六百九冊の本があります。,0
80,テーブルには六十一一つのリンゴがありました。,1
81,七百十四ドルかかります。,0
82,九十九つのリングがあります。,0
83,図書館には三九百十三冊の本があります。,1
84,少年は二四十六枚のコインを持っています。,1
85,九百八十五つのリングがあります。,0
86,九百九十三ドルかかります。,0
87,テーブルには八百十四つのリンゴがありました。,0
88,家には猫が二百十二匹いました。,0
89,少年は三百九十二枚のコインを持っています。,0
90,家には猫が五百七十五匹いました。,0
