,sents,labels
0,二百五十一; 九百七十三,1
1,百十一; 四十八,0
2,八百五十四; 四百六十四,0
3,六百五十七; 三百十三,0
4,五百八; 五百八十八,1
5,百七十一; 六十九,0
6,五百三十六; 二百七十,0
7,二百三十五; 七百二,1
8,四百二十三; 六百八十,1
9,六百二十九; 七百十三,1
10,六百四十四; 七百七十八,1
11,二百四十五; 九百四十九,1
12,五十三; 六百九十四,1
13,五十四; 四百十七,1
14,二百二十六; 百十七,0
15,六百四; 六百二,0
16,七百三十八; 三百二十五,0
17,二百九十五; 六百三十四,1
18,二百七; 五百一,1
19,七十; 五百七,1
20,八百八; 九百三十三,1
21,六百九十四; 五百九十,0
22,二百八十六; 八百十三,1
23,三百六十; 九百九十一,1
24,二百五十五; 九百二十三,1
25,九百八; 八十二,0
26,四百三十三; 三十二,0
27,八百四十八; 四十五,0
28,百十六; 六百五,1
29,九百九十九; 八十三,0
30,四十八; 二百五十三,1
31,六百八十一; 八百十八,1
32,三百三十; 八百三十七,1
33,八百三十; 五百四,0
34,五百三十八; 三百三十三,0
35,百四十一; 六百八十二,1
36,四百六十四; 四百七十七,1
37,二百四十六; 四百八十三,1
38,百四; 百九,1
39,四百八十五; 二百二十六,0
40,五百五十九; 三百八十,0
41,四十六; 六百七十九,1
42,六百; 三百五十三,0
43,百二十一; 四百七十一,1
44,二百七十; 二十一,0
45,九百六十八; 九十一,0
46,九百二十二; 九百六十二,1
47,百七十九; 百二十七,0
48,五十; 百七十九,1
49,五百四十三; 四百九十七,0
50,九十八; 四百三十五,1
51,九百九十六; 五百一,0
52,九百六; 四百七十九,0
53,三百八十二; 五十八,0
54,二百九十一; 九百六十四,1
55,百八; 五百四十五,1
56,三百十一; 九百十九,1
57,八百八十三; 百九十二,0
58,八百六; 百六十四,0
59,五十; 四百五十四,1
60,五百八十三; 七百十三,1
61,百五十三; 四百九十五,1
62,四百二十; 三百七十九,0
63,九百四十二; 五百六十九,0
64,三百六十五; 三百七十三,1
65,六百九十二; 三百五十九,0
66,二百六十五; 三百七十二,1
67,七百五十六; 三百六十三,0
68,二百七十; 三百五十六,1
69,四百七十三; 四百二,0
70,四百六十九; 九百九十一,1
71,三百四十一; 六百八十九,1
72,九百三十二; 六百一,0
73,二十五; 百三十五,1
74,六百七十; 九百四十六,1
75,二百八十五; 百七十八,0
76,百八十一; 九百六,1
77,五百四十一; 六百五十一,1
78,七百二十八; 百,0
79,三百二十四; 三百五十二,1
80,十二; 七百四十九,1
81,七百七十三; 八百三十八,1
82,百二十九; 二十,0
83,九百七十一; 四百三十,0
84,六百八十八; 五百三十九,0
85,百三十三; 四百四十八,1
86,七百八十; 七百五十七,0
87,九; 五百九十七,1
88,七百七十七; 百九十七,0
89,八百四; 千,1
90,九百三十七; 九百七十三,1
91,三百十; 九百六十二,1
92,六百七十八; 四百九,0
93,百十九; 百三十五,1
94,七百二十九; 百八十五,0
95,三百十六; 百二十八,0
96,二百十六; 七百三十八,1
97,九百四十八; 八百九十二,0
98,四百四十四; 百九十二,0
99,六百八十八; 二百八,0
100,百二十六; 九百六十七,1
101,七十六; 六百四十二,1
102,七百九十一; 二百七十三,0
103,七百七十二; 五百十四,0
104,五百七十八; 四百五十七,0
105,八百九十七; 九百九十六,1
106,百三; 七百二十九,1
107,二百三十三; 九百三十七,1
108,九百五十四; 二百二十八,0
109,九百三十六; 八百八十八,0
110,三十一; 百五十五,1
111,五百九十五; 六百四十五,1
112,七百四十; 二百四,0
113,二百六十一; 七百七十六,1
114,七百十五; 四百九十三,0
115,二百七十二; 四百二十九,1
116,八十二; 二百五十八,1
117,三百; 三百二十七,1
118,三百九十五; 七百十四,1
119,四百七十七; 四百二十七,0
120,五百五十六; 五百八十四,1
121,百二十九; 五百三十,1
122,五百九十九; 百六十七,0
123,二百六十四; 百三十八,0
124,二百三十四; 九百八十二,1
125,七百七十; 九百十四,1
126,二百五十二; 二百五十四,1
127,八百八十五; 八百九十二,1
128,五百六十一; 七百五十八,1
129,六百六十二; 九百十五,1
130,五百三十二; 七百六十四,1
131,四十; 三百九十三,1
132,八百八十五; 五百九十七,0
133,百四; 九百,1
134,八百五十九; 二百十七,0
135,四百四十二; 百六十三,0
136,七百三十一; 二百九十九,0
137,四百八十九; 七百三十,1
138,百十七; 四百三十九,1
139,七百四十七; 四,0
140,七百二十三; 五百七,0
141,九百六十九; 三百七十四,0
142,八百四十三; 八百二十三,0
143,九百五十; 五十九,0
144,百四十八; 六百二十七,1
145,八百二十五; 七百三十八,0
146,二百十五; 三百九十一,1
147,四百九十九; 十四,0
148,八百二十五; 八十,0
149,二百六十六; 四百六,1
150,百四十七; 十九,0
151,六百四十二; 七百八十二,1
152,八百七十二; 百九十一,0
153,六百九十二; 四百四十三,0
154,十八; 百三十三,1
155,四百三十五; 七百八十四,1
156,七百十三; 八百八十九,1
157,八百八十四; 七百三十一,0
158,八百九十六; 二百六十二,0
159,四百八十; 二百四十二,0
160,五百三十五; 二百八十七,0
161,七百四十八; 八百二十二,1
162,五百三十六; 三百六十六,0
163,六百三十七; 九百二十,1
164,三百四十八; 七百十三,1
165,百六十; 八百五十八,1
166,百三十三; 百十一,0
167,七百三十; 七百二十七,0
168,八百五十四; 九百二十五,1
169,七百五十一; 二百四十六,0
170,九百二十二; 五十五,0
171,三百八十四; 八百十九,1
172,二百九十二; 四百二十三,1
173,百五十一; 百五十五,1
174,八百七十三; 六十九,0
175,五百十七; 九百三十九,1
176,十一; 七百九十七,1
177,四十七; 六百七十九,1
178,八百八十九; 六百七十三,0
179,九百三十; 百三十六,0
180,八百七十九; 六百八十一,0
181,四百九十七; 八百二十七,1
182,四百九十七; 四百六十四,0
183,六百五; 百三,0
184,五十二; 二百五十八,1
185,百三十四; 四百七十九,1
186,百八十四; 九百四十四,1
187,四百五十二; 七百五十九,1
188,六百六十六; 八百四十三,1
189,三百五十六; 六百四十四,1
190,八百十六; 九百六十七,1
191,八百九十六; 三百二十七,0
192,八百七十四; 百七十七,0
193,三百九十二; 七百八十五,1
194,八百十三; 百九十六,0
195,八百八十二; 四百四十九,0
196,六百一; 二百八十六,0
197,七百七十三; 百四十九,0
198,五百九十三; 七百九十,1
199,七百十七; 六百三十一,0
200,六百八十; 九百八十一,1
201,六百三十四; 五百四十八,0
202,四百九十三; 百八十六,0
203,三百三十四; 四百三十,1
204,八百六十; 百三十三,0
205,六百六十九; 四百七十四,0
206,二百三十五; 二百八十七,1
207,九百七十三; 九百七十七,1
208,七百九十四; 六百八十一,0
209,七百六十八; 三百二十八,0
210,九百十二; 九百二,0
211,四百九十; 三百六十二,0
212,四百八十五; 九百九十八,1
213,三百九十三; 八百十七,1
214,四百九十七; 八百九十六,1
215,四百八十七; 五百二十六,1
216,六十九; 三百二十,1
217,五百八十; 九百九十一,1
218,三百一; 百十六,0
219,三百四; 百二十七,0
220,五百七十五; 七百八十七,1
221,八百七十二; 八百八十七,1
222,四百三十九; 五十九,0
223,六百一; 二百五十七,0
224,二百四十二; 七百六十九,1
225,六百六十六; 三百五十四,0
226,三十九; 七百八十八,1
227,四百六十七; 四百一,0
228,八百三十八; 七百三十三,0
229,七百五十三; 百十,0
230,四百四十一; 二百十二,0
231,六百三十七; 八百八十六,1
232,八百八十二; 百九十六,0
233,二百六十; 七百八十九,1
234,九百四十八; 六百五十八,0
235,六百十一; 七百四,1
236,七百二十一; 二百二十三,0
237,四百九十三; 五百四,1
238,二百七十三; 百三十八,0
239,七; 百六十四,1
240,五百六十八; 六百三十六,1
241,百九十二; 四百九十七,1
242,三十三; 五百六十六,1
243,五百五十一; 三百十二,0
244,二百七; 九百八十九,1
245,八百六十七; 三百八十五,0
246,九百十七; 七百四十五,0
247,七百八十九; 六百四十六,0
248,五百七十九; 七十四,0
249,三百六十九; 九百七十四,1
250,七十; 七百三十三,1
251,二百九十四; 八百七十六,1
252,四百九十八; 百三十,0
253,三百九; 六百六十三,1
254,九百五十九; 二百五十三,0
255,八十三; 三百八十,1
256,二百四; 九百八十四,1
257,百三十; 六百九十八,1
258,六百十二; 四十九,0
259,九百三十七; 六百四十一,0
260,四百三十一; 八百四十七,1
261,二百四十八; 十,0
262,百九十七; 百五十二,0
263,二百二十五; 百十八,0
264,百四十五; 九百六十,1
265,九百五十五; 六百九,0
266,百六十四; 六百十五,1
267,六百九十; 百四十五,0
268,八百十三; 五百二,0
269,五百六十一; 九百二十五,1
270,九十七; 百三十,1
271,八十九; 三百五十九,1
272,八百七十三; 百二十,0
273,四百五十四; 百四十七,0
274,二百四; 五百五十七,1
275,六百六十六; 百四十三,0
276,百二十一; 百十四,0
277,三百三十五; 六百六十三,1
278,六百七十一; 六百二十,0
279,百十七; 九十三,0
280,八百七十四; 百四十八,0
281,五十二; 八百七十五,1
282,五百八十五; 八百六十六,1
283,二百三十二; 五十四,0
284,四百九十三; 六百九十四,1
285,三百二十一; 六百五十四,1
286,六百五; 七百三十二,1
287,五百四十二; 七百五,1
288,六百三十八; 百七十五,0
289,四百九十七; 百三,0
290,百四十七; 八百七十七,1
291,三; 四百九十七,1
292,六百三; 四百七十,0
293,五百十八; 四百七十,0
294,三百八十; 四百三十三,1
295,二百八十六; 七百七十,1
296,三百九十八; 二百四十六,0
297,二百五十; 三,0
298,五百七十一; 五百九,0
299,二百三十三; 六百六十三,1
300,五百七十六; 八百五,1
301,百四十三; 二百二十五,1
302,三百二十四; 千,1
303,二百七十一; 百三十五,0
304,二百八十二; 七百六十三,1
305,五百三十六; 五百七十六,1
306,五百三十九; 二百四十三,0
307,七百四十二; 百六,0
308,二百八十五; 五百九十六,1
309,八百七十一; 二百九十一,0
310,七百二十六; 五百十二,0
311,四百八十三; 六百五十五,1
312,二百四十四; 五百五十,1
313,十九; 六十四,1
314,七十八; 六百十一,1
315,九百六十三; 九百二十,0
316,七百四十四; 九百六十二,1
317,百二十五; 三百五十五,1
318,七百八十六; 百四十五,0
319,六百六十二; 四百九十三,0
320,九十八; 百十八,1
321,四百五十九; 二百八十三,0
322,四百三十三; 八百十二,1
323,五百五十八; 七百二,1
324,九十四; 六百十六,1
325,五百八十三; 六百七十五,1
326,七; 八百二十九,1
327,四百五十五; 四百八十七,1
328,八百三十五; 八百九,0
329,二百八; 二百六十一,1
330,六百四十七; 四百二十四,0
331,七百五十四; 二百五十一,0
332,百六十八; 六十五,0
333,五百五; 九百十九,1
334,四百四十九; 九百五,1
335,四百四十二; 九百三十四,1
336,三百六十四; 八百四十六,1
337,九百十; 六十一,0
338,八百四十四; 四百七,0
339,二百六十; 百七,0
340,七百七十七; 百三十一,0
341,三百七; 六百六,1
342,九百三十七; 二百四十六,0
343,五百八; 二百六十七,0
344,五百四; 千,1
345,七百七十一; 七百四十二,0
346,九百八十二; 九百九十二,1
347,三百三十九; 六百四十九,1
348,四百二十四; 百二十六,0
349,六百八十九; 二百五十,0
350,九百八十五; 百九,0
351,七百八; 百六十一,0
352,五百四十六; 九百七十八,1
353,七百十三; 九百四十五,1
354,九百四十; 八百五十五,0
355,五百; 三百七十五,0
356,三百九十一; 二百四十九,0
357,八百九; 七百四十六,0
358,百十四; 六百二十八,1
359,八百八十四; 十一,0
360,五百三十三; 百二十五,0
361,五百四十八; 三百九十六,0
362,七百十八; 六百十一,0
363,三百八十五; 三百六十七,0
364,五百一; 八十,0
365,五百二十一; 九百六十七,1
366,十一; 百十七,1
367,百四; 四百六十六,1
368,七百四十四; 八百七十八,1
369,六百九十九; 九百五十二,1
370,四百八; 二百八十九,0
371,百八; 七百三十八,1
372,六十六; 三百一,1
373,九百三十二; 四百七十,0
374,三百; 八百二十五,1
375,五十五; 百五十五,1
376,六百十二; 三百六十一,0
377,八百十; 六百四十八,0
378,二百十八; 八百五十七,1
379,三百五; 八百五十一,1
380,六百二十四; 百六十,0
381,六百十九; 五百八十三,0
382,四百五十二; 四百七十八,1
383,九百二十一; 八百六十二,0
384,六百二十八; 百七十五,0
385,六百四十九; 八百三十一,1
386,五百九十四; 八百二十一,1
387,八百十七; 九百九十七,1
388,三百三十四; 八十一,0
389,七百三十六; 二百三十五,0
390,二百五十九; 五百二十四,1
391,五百六十八; 九百十三,1
392,七百三十二; 五百十八,0
393,八百九十五; 四十三,0
394,七百四十五; 二百三十五,0
395,八百八十四; 三百五十三,0
396,五百七十七; 百五十一,0
397,七百九十; 二百三十七,0
398,百五十三; 九百十八,1
399,三百九十; 五百一,1
400,五百八十三; 二百十三,0
401,五百二十; 二百四十三,0
402,五百五十六; 百六十六,0
403,三百二; 九百十三,1
404,七百五十四; 六百五十九,0
405,七百八十二; 八百八十八,1
406,五百二十七; 四百九十八,0
407,五百六十; 百五十八,0
408,六百五十九; 三百七十,0
409,五百八十六; 三百五十五,0
410,七百十七; 七百八十八,1
411,七百二; 六百十九,0
412,八百七十二; 百六十一,0
413,三百二十五; 八百七十九,1
414,五百四十四; 七百六十一,1
