,sents,labels
0,Værelset var fyldt med ottehundrede og syvogfyrre kartofler.,0
1,Værelset var fyldt med ethundrede og tyve fem kartofler.,1
2,Der er syvhundrede og tolv ringe.,0
3,Han kunne spise trehundrede og enoghalvfems appelsiner.,0
4,De tager firehundrede og otte sytten hobbyer til Isengard.,1
5,Der er sekshundrede og fireogfirs bøger på biblioteket.,0
6,Det koster halvfems ethundrede og fem dollars.,1
7,Han kunne spise seksoghalvfems sytten appelsiner.,1
8,De tager toogtyve hobbyer til Isengard.,0
9,Smeagol gør syvhundrede og fem halvfems fluer ondt.,1
10,Legolas kastede nihundrede og otteoghalvfjerds dværge.,0
11,Det koster seksogfyrre seksogfyrre dollars.,1
12,Legolas kastede tohundrede og halvtreds dværge.,0
13,Værelset var fyldt med treogfyrre ni kartofler.,1
14,Drengen har syvogtyve tooghalvfjerds mønter.,1
15,Smeagol gør tretten ethundrede og tyve fluer ondt.,1
16,Smeagol gør nihundrede og niogtyve firs fluer ondt.,1
17,Han kunne spise ethundrede og femogtredive appelsiner.,0
18,Der er elleve trehundrede og ni ringe.,1
19,Værelset var fyldt med tohundrede og otteoghalvfems kartofler.,0
20,Det koster fire nihundrede og enogtyve dollars.,1
21,Der var nihundrede og seksoghalvfems katte i huset.,0
22,Det koster ethundrede og firs fjorten dollars.,1
23,De tager ottehundrede og tretten ni hobbyer til Isengard.,1
24,De tager sekshundrede og tredive hobbyer til Isengard.,0
25,De tager niogfyrre hobbyer til Isengard.,0
26,Legolas kastede ethundrede og fire tredive dværge.,1
27,Der var ottehundrede og syvoghalvfems æbler på bordet.,0
28,Det koster femhundrede og tretten tre dollars.,1
29,Legolas kastede tohundrede og treogtreds tre dværge.,1
30,Han kunne spise femhundrede og sytten appelsiner.,0
31,Der er seksogtyve femogfirs bøger på biblioteket.,1
32,Der er elleve ethundrede og seks ringe.,1
33,Han kunne spise sekshundrede og niogfirs appelsiner.,0
34,Værelset var fyldt med sekshundrede og treogfyrre kartofler.,0
35,Drengen har femhundrede og syvoghalvfems mønter.,0
36,Drengen har sekshundrede og to mønter.,0
37,Legolas kastede ottehundrede og toogfyrre dværge.,0
38,Drengen har otteogfirs ethundrede mønter.,1
39,Legolas kastede firehundrede og seksten dværge.,0
40,Legolas kastede sekshundrede og syv fire dværge.,1
41,Der var firehundrede og seksogtredive katte i huset.,0
42,Værelset var fyldt med femhundrede og femten et kartofler.,1
43,Der er femhundrede og halvfjerds ringe.,0
44,De tager firehundrede og femogfirs hobbyer til Isengard.,0
45,De tager ethundrede og tre hobbyer til Isengard.,0
46,Han kunne spise femoghalvfems elleve appelsiner.,1
47,Der var femhundrede og et nitten katte i huset.,1
48,Værelset var fyldt med femhundrede og seksten kartofler.,0
49,Der er trehundrede og nioghalvfjerds bøger på biblioteket.,0
50,De tager fjorten ottehundrede og tyve hobbyer til Isengard.,1
51,Værelset var fyldt med fem ottehundrede og tyve kartofler.,1
52,Der var syvhundrede og enogtyve katte i huset.,0
53,Han kunne spise femhundrede og femogtreds appelsiner.,0
54,Der var firehundrede og nioghalvtreds æbler på bordet.,0
55,Drengen har trehundrede og nioghalvfems mønter.,0
56,Værelset var fyldt med femhundrede og syv firs kartofler.,1
57,Drengen har syvhundrede og enogtyve fire mønter.,1
58,Der var syvoghalvfems enogfirs æbler på bordet.,1
59,Drengen har nihundrede og fem mønter.,0
60,Smeagol gør otteogtreds fluer ondt.,0
61,Han kunne spise tolv fireoghalvfjerds appelsiner.,1
62,Der er syvhundrede og tredive treds ringe.,1
63,Der var nihundrede og otteoghalvfems æbler på bordet.,0
64,Der er ottehundrede og halvfjerds ringe.,0
65,Det koster to syvhundrede og sytten dollars.,1
66,De tager femhundrede og et hobbyer til Isengard.,0
67,Drengen har fem firehundrede og halvfems mønter.,1
68,Der var fem æbler på bordet.,0
69,Legolas kastede ethundrede og fem ni dværge.,1
70,Legolas kastede femhundrede og otteoghalvfjerds dværge.,0
71,De tager syvhundrede og syvoghalvtreds hobbyer til Isengard.,0
72,Værelset var fyldt med tretten femoghalvfjerds kartofler.,1
73,Det koster firehundrede toogfyrre dollars.,1
74,Han kunne spise tohundrede og tre treogfirs appelsiner.,1
75,Legolas kastede syvhundrede og treogfirs dværge.,0
76,Der er ethundrede og treogfirs otte bøger på biblioteket.,1
77,Legolas kastede sekshundrede og tolv tyve dværge.,1
78,Han kunne spise ottehundrede og firs nitten appelsiner.,1
79,Smeagol gør firehundrede og tretten fluer ondt.,0
80,Værelset var fyldt med fjorten femhundrede og fire kartofler.,1
81,Der er sekshundrede og fire tyve bøger på biblioteket.,1
82,Værelset var fyldt med ti trehundrede og syvogtreds kartofler.,1
83,Han kunne spise syvogtreds appelsiner.,0
84,Det koster tretten niogtreds dollars.,1
85,Legolas kastede nihundrede og enogfirs dværge.,0
86,Der er ethundrede og syv bøger på biblioteket.,0
87,Drengen har trehundrede og tre mønter.,0
88,Drengen har trehundrede og otte otte mønter.,1
89,Værelset var fyldt med seksogtredive fireogtreds kartofler.,1
90,Det koster ethundrede og treoghalvfems dollars.,0
91,Det koster sekshundrede og fem tredive dollars.,1
92,Det koster ottehundrede og syvoghalvfjerds dollars.,0
93,Der er tre nihundrede og fjorten bøger på biblioteket.,1
94,Der er ethundrede og seksoghalvfems ringe.,0
95,Det koster trehundrede og treogfyrre et dollars.,1
96,Det koster tohundrede seksoghalvfems dollars.,1
97,Legolas kastede trehundrede og toogfyrre dværge.,0
98,Der var ethundrede og syvogfyrre katte i huset.,0
99,Der var treds nitten katte i huset.,1
100,Legolas kastede femhundrede og fireogtyve et dværge.,1
101,Det koster tretten ethundrede og ti dollars.,1
102,Smeagol gør fyrre fluer ondt.,0
103,Det koster syvhundrede nihundrede dollars.,1
104,Drengen har femhundrede og fireoghalvfems mønter.,0
105,Legolas kastede fireogtyve dværge.,0
106,Der var nihundrede og sytten firs katte i huset.,1
107,Det koster tohundrede og enoghalvfjerds dollars.,0
108,Smeagol gør tohundrede og ti atten fluer ondt.,1
109,Der er syvhundrede og seksoghalvfjerds ringe.,0
110,De tager elleve firehundrede og tolv hobbyer til Isengard.,1
111,Smeagol gør halvfems ottehundrede og to fluer ondt.,1
112,Værelset var fyldt med treoghalvfems fem kartofler.,1
113,Værelset var fyldt med sekshundrede og tolv kartofler.,0
114,Der var sekshundrede og enogtyve æbler på bordet.,0
115,Der var halvfjerds nihundrede katte i huset.,1
116,Der er tohundrede og syvoghalvfjerds bøger på biblioteket.,0
117,Værelset var fyldt med syvhundrede og to to kartofler.,1
118,Han kunne spise firehundrede og syvoghalvfems appelsiner.,0
119,De tager femhundrede og otteoghalvfjerds hobbyer til Isengard.,0
120,Han kunne spise syvhundrede og femogfyrre appelsiner.,0
121,Drengen har femhundrede og niogtreds syv mønter.,1
122,Han kunne spise tre firehundrede og tyve appelsiner.,1
123,De tager niogtyve ethundrede og ti hobbyer til Isengard.,1
124,Værelset var fyldt med syvhundrede og syvogfirs kartofler.,0
125,Smeagol gør firehundrede og tooghalvfjerds fluer ondt.,0
126,Der er nihundrede og enoghalvtreds ringe.,0
127,Legolas kastede femhundrede og syvoghalvtreds dværge.,0
128,Det koster syvhundrede og fjorten dollars.,0
129,De tager tohundrede og nioghalvtreds hobbyer til Isengard.,0
130,Drengen har femoghalvfems enoghalvfems mønter.,1
131,Drengen har syvhundrede og nitten firs mønter.,1
132,Det koster ottehundrede og treogtredive dollars.,0
133,Legolas kastede nihundrede og et dværge.,0
134,Smeagol gør firehundrede og ni enogtyve fluer ondt.,1
135,Værelset var fyldt med ettusind halvtreds kartofler.,1
136,Det koster enogtreds otteogtreds dollars.,1
137,Legolas kastede firehundrede og enogfyrre dværge.,0
138,Smeagol gør atten femhundrede og fyrre fluer ondt.,1
139,Der var syv sekshundrede og tyve æbler på bordet.,1
140,Han kunne spise syvhundrede og enogtyve appelsiner.,0
141,Han kunne spise tohundrede og toogtreds appelsiner.,0
142,Det koster femhundrede og fem femogfirs dollars.,1
143,Der var syvhundrede og nioghalvfems æbler på bordet.,0
144,Drengen har trehundrede og enogfirs mønter.,0
145,De tager firehundrede og ni hobbyer til Isengard.,0
146,Han kunne spise sekshundrede og otte seks appelsiner.,1
147,Han kunne spise nihundrede og ti appelsiner.,0
148,Der er otteoghalvfjerds seksogtyve bøger på biblioteket.,1
149,Smeagol gør otte otteogtreds fluer ondt.,1
150,Drengen har otteoghalvtreds tretten mønter.,1
151,Der er syvogtyve nihundrede og firs ringe.,1
152,Legolas kastede tolv syvhundrede og femten dværge.,1
153,Han kunne spise syvhundrede og otteoghalvfjerds appelsiner.,0
154,Der er tohundrede og syvoghalvfems ringe.,0
155,Værelset var fyldt med fem niogfirs kartofler.,1
156,Der er syvogtreds tre bøger på biblioteket.,1
157,Det koster femhundrede og atten ni dollars.,1
158,Det koster trehundrede og seksogfirs dollars.,0
159,Der var ethundrede og enoghalvfjerds katte i huset.,0
160,Der var syvoghalvfjerds syvogtreds katte i huset.,1
161,Det koster fire ethundrede og syvogfirs dollars.,1
162,Der er elleve femhundrede ringe.,1
163,Legolas kastede tohundrede og toogtyve dværge.,0
164,Der var sekshundrede og treogfyrre æbler på bordet.,0
165,Der var femten treogfyrre katte i huset.,1
166,Legolas kastede firehundrede og fireogtreds dværge.,0
167,Smeagol gør nitten femhundrede og fem fluer ondt.,1
168,Drengen har femhundrede og firs treds mønter.,1
169,Der var ethundrede og nioghalvtreds katte i huset.,0
170,Legolas kastede ethundrede og treogfirs dværge.,0
171,Drengen har syvhundrede og treds mønter.,0
172,Smeagol gør firehundrede og treogtreds fluer ondt.,0
173,Der var otteogtreds katte i huset.,0
174,Legolas kastede halvfems ti dværge.,1
175,Værelset var fyldt med trehundrede og niogtredive kartofler.,0
