,sents,labels
0,huit cent soixante douze; trois cent quarante huit,0
1,deux cent soixante neuf; six cent quarante sept,1
2,deux cent seize; cent quarante neuf,0
3,six cent trente quatre; cent cinq,0
4,sept cent cinquante deux; neuf cent cinquante,1
5,trois cent quatre vingt sept; six cent cinquante neuf,1
6,huit cents; cent soixante douze,0
7,huit cent quinze; trois cent trois,0
8,cent dix neuf; deux cent quarante six,1
9,cent quinze; neuf cent soixante sept,1
10,huit cent quatre vingt treize; trois cent un,0
11,neuf cent vingt six; neuf cent neuf,0
12,neuf cent vingt neuf; huit cent trente huit,0
13,cent soixante treize; huit cent vingt six,1
14,deux cent quatre vingt neuf; soixante deux,0
15,deux cent soixante deux; cinq cent cinquante neuf,1
16,six cent soixante quinze; six cent trois,0
17,trois cent seize; vingt et un,0
18,neuf cent quatre vingt six; neuf cent quatre vingt dix neuf,1
19,trois cent trente et un; quatre cent cinquante deux,1
20,huit cent dix huit; deux cent trente,0
21,quatre vingt dix; cinq cent soixante dix sept,1
22,trois cent quarante et un; huit cent trente,1
23,deux cent quatre vingt seize; six cent trente quatre,1
24,cent quatre vingt huit; deux cent trente et un,1
25,neuf cent vingt six; six cent quarante et un,0
26,trois cent cinquante six; sept cent huit,1
27,six cent cinquante quatre; six cent quatre vingt quatre,1
28,huit cent huit; huit cent deux,0
29,cinq cent soixante deux; six,0
30,deux cent trente sept; six cents,1
31,cinquante et un; cent soixante quinze,1
32,quatre cent dix sept; huit cent soixante quinze,1
33,huit cent cinq; neuf cent trente trois,1
34,sept cent trente neuf; cinq cent quinze,0
35,deux cent trente trois; huit cent neuf,1
36,cinquante quatre; sept cent quatre vingt dix huit,1
37,quatre cent quarante et un; trois cent soixante seize,0
38,cinquante deux; neuf cent quarante huit,1
39,soixante et un; deux cent soixante quinze,1
40,trois cent trente; quatre cent onze,1
41,huit cent quarante quatre; cent cinquante six,0
42,cent soixante et onze; huit cent soixante quatre,1
43,cent trente; deux cent quarante huit,1
44,six cent vingt sept; huit cent quatre vingts,1
45,huit cent vingt neuf; neuf cent cinquante quatre,1
46,quatre cent quatre vingt quatorze; quatre cent soixante dix huit,0
